Catégorie : Toutes catégories

Semaine,iphone: (Dans tous les pays)
2019-12-29,82
2020-01-05,81
2020-01-12,77
2020-01-19,76
2020-01-26,75
2020-02-02,72
2020-02-09,73
2020-02-16,74
2020-02-23,78
2020-03-01,73
2020-03-08,72
2020-03-15,67
2020-03-22,67
2020-03-29,65
2020-04-05,67
2020-04-12,70
2020-04-19,71
2020-04-26,69
2020-05-03,66
2020-05-10,68
2020-05-17,65
2020-05-24,69
2020-05-31,68
2020-06-07,73
2020-06-14,70
2020-06-21,68
2020-06-28,71
2020-07-05,70
2020-07-12,66
2020-07-19,67
2020-07-26,64
2020-08-02,67
2020-08-09,71
2020-08-16,71
2020-08-23,68
2020-08-30,66
2020-09-06,67
2020-09-13,68
2020-09-20,67
2020-09-27,67
2020-10-04,62
2020-10-11,86
2020-10-18,82
2020-10-25,80
2020-11-01,72
2020-11-08,78
2020-11-15,75
2020-11-22,82
2020-11-29,70
2020-12-06,68
2020-12-13,67
2020-12-20,80
2020-12-27,77
2021-01-03,72
2021-01-10,68
2021-01-17,65
2021-01-24,61
2021-01-31,61
2021-02-07,61
2021-02-14,63
2021-02-21,58
2021-02-28,57
2021-03-07,58
2021-03-14,61
2021-03-21,60
2021-03-28,57
2021-04-04,56
2021-04-11,56
2021-04-18,57
2021-04-25,58
2021-05-02,60
2021-05-09,60
2021-05-16,63
2021-05-23,59
2021-05-30,57
2021-06-06,58
2021-06-13,58
2021-06-20,61
2021-06-27,58
2021-07-04,58
2021-07-11,60
2021-07-18,59
2021-07-25,60
2021-08-01,61
2021-08-08,60
2021-08-15,60
2021-08-22,60
2021-08-29,59
2021-09-05,58
2021-09-12,81
2021-09-19,79
2021-09-26,86
2021-10-03,74
2021-10-10,71
2021-10-17,67
2021-10-24,67
2021-10-31,67
2021-11-07,72
2021-11-14,71
2021-11-21,84
2021-11-28,73
2021-12-05,63
2021-12-12,71
2021-12-19,85
2021-12-26,76
2022-01-02,72
2022-01-09,71
2022-01-16,70
2022-01-23,70
2022-01-30,71
2022-02-06,67
2022-02-13,71
2022-02-20,67
2022-02-27,71
2022-03-06,77
2022-03-13,72
2022-03-20,72
2022-03-27,73
2022-04-03,69
2022-04-10,70
2022-04-17,70
2022-04-24,66
2022-05-01,71
2022-05-08,65
2022-05-15,63
2022-05-22,66
2022-05-29,66
2022-06-05,76
2022-06-12,71
2022-06-19,72
2022-06-26,73
2022-07-03,73
2022-07-10,74
2022-07-17,75
2022-07-24,72
2022-07-31,74
2022-08-07,73
2022-08-14,73
2022-08-21,73
2022-08-28,70
2022-09-04,97
2022-09-11,95
2022-09-18,92
2022-09-25,82
2022-10-02,80
2022-10-09,78
2022-10-16,77
2022-10-23,73
2022-10-30,80
2022-11-06,69
2022-11-13,76
2022-11-20,74
2022-11-27,82
2022-12-04,69
2022-12-11,69
2022-12-18,79
2022-12-25,90
2023-01-01,82
2023-01-08,74
2023-01-15,74
2023-01-22,69
2023-01-29,68
2023-02-05,64
2023-02-12,70
2023-02-19,69
2023-02-26,73
2023-03-05,69
2023-03-12,70
2023-03-19,69
2023-03-26,77
2023-04-02,70
2023-04-09,69
2023-04-16,69
2023-04-23,68
2023-04-30,68
2023-05-07,69
2023-05-14,69
2023-05-21,67
2023-05-28,70
2023-06-04,73
2023-06-11,71
2023-06-18,71
2023-06-25,73
2023-07-02,82
2023-07-09,74
2023-07-16,74
2023-07-23,71
2023-07-30,68
2023-08-06,69
2023-08-13,73
2023-08-20,70
2023-08-27,66
2023-09-03,68
2023-09-10,100
2023-09-17,93
2023-09-24,97
2023-10-01,88
2023-10-08,83
2023-10-15,72
2023-10-22,70
2023-10-29,73
2023-11-05,78
2023-11-12,78
2023-11-19,77
2023-11-26,74
2023-12-03,75
2023-12-10,72
2023-12-17,77
2023-12-24,85
2023-12-31,79
2024-01-07,74
2024-01-14,73
2024-01-21,73
2024-01-28,77
2024-02-04,64
2024-02-11,65
2024-02-18,63
2024-02-25,65
2024-03-03,68
2024-03-10,66
2024-03-17,65
2024-03-24,63
2024-03-31,62
2024-04-07,62
2024-04-14,61
2024-04-21,60
2024-04-28,61
