Catégorie : Toutes catégories

Semaine,Amazon Prime: (Dans tous les pays)
2019-12-29,22
2020-01-05,10
2020-01-12,15
2020-01-19,21
2020-01-26,15
2020-02-02,13
2020-02-09,17
2020-02-16,13
2020-02-23,12
2020-03-01,14
2020-03-08,16
2020-03-15,24
2020-03-22,22
2020-03-29,25
2020-04-05,23
2020-04-12,22
2020-04-19,23
2020-04-26,17
2020-05-03,21
2020-05-10,17
2020-05-17,20
2020-05-24,19
2020-05-31,16
2020-06-07,14
2020-06-14,14
2020-06-21,14
2020-06-28,15
2020-07-05,18
2020-07-12,16
2020-07-19,21
2020-07-26,20
2020-08-02,26
2020-08-09,15
2020-08-16,12
2020-08-23,17
2020-08-30,16
2020-09-06,16
2020-09-13,17
2020-09-20,18
2020-09-27,30
2020-10-04,29
2020-10-11,100
2020-10-18,20
2020-10-25,15
2020-11-01,20
2020-11-08,15
2020-11-15,16
2020-11-22,18
2020-11-29,30
2020-12-06,18
2020-12-13,20
2020-12-20,14
2020-12-27,19
2021-01-03,15
2021-01-10,13
2021-01-17,20
2021-01-24,18
2021-01-31,16
2021-02-07,9
2021-02-14,14
2021-02-21,16
2021-02-28,15
2021-03-07,11
2021-03-14,9
2021-03-21,16
2021-03-28,15
2021-04-04,17
2021-04-11,15
2021-04-18,10
2021-04-25,9
2021-05-02,12
2021-05-09,15
2021-05-16,12
2021-05-23,19
2021-05-30,16
2021-06-06,23
2021-06-13,35
2021-06-20,75
2021-06-27,18
2021-07-04,27
2021-07-11,20
2021-07-18,20
2021-07-25,17
2021-08-01,17
2021-08-08,22
2021-08-15,18
2021-08-22,15
2021-08-29,18
2021-09-05,22
2021-09-12,8
2021-09-19,15
2021-09-26,14
2021-10-03,11
2021-10-10,17
2021-10-17,14
2021-10-24,21
2021-10-31,22
2021-11-07,10
2021-11-14,14
2021-11-21,20
2021-11-28,26
2021-12-05,19
2021-12-12,19
2021-12-19,12
2021-12-26,19
2022-01-02,12
2022-01-09,20
2022-01-16,13
2022-01-23,16
2022-01-30,21
2022-02-06,22
2022-02-13,16
2022-02-20,14
2022-02-27,12
2022-03-06,12
2022-03-13,11
2022-03-20,16
2022-03-27,12
2022-04-03,12
2022-04-10,14
2022-04-17,16
2022-04-24,19
2022-05-01,16
2022-05-08,10
2022-05-15,10
2022-05-22,13
2022-05-29,15
2022-06-05,15
2022-06-12,18
2022-06-19,17
2022-06-26,20
2022-07-03,27
2022-07-10,75
2022-07-17,22
2022-07-24,27
2022-07-31,21
2022-08-07,17
2022-08-14,13
2022-08-21,13
2022-08-28,16
2022-09-04,18
2022-09-11,19
2022-09-18,14
2022-09-25,18
2022-10-02,17
2022-10-09,26
2022-10-16,16
2022-10-23,15
2022-10-30,12
2022-11-06,15
2022-11-13,15
2022-11-20,17
2022-11-27,15
2022-12-04,14
2022-12-11,14
2022-12-18,14
2022-12-25,15
2023-01-01,14
2023-01-08,13
2023-01-15,13
2023-01-22,14
2023-01-29,11
2023-02-05,11
2023-02-12,10
2023-02-19,13
2023-02-26,15
2023-03-05,11
2023-03-12,10
2023-03-19,14
2023-03-26,11
2023-04-02,10
2023-04-09,12
2023-04-16,10
2023-04-23,15
2023-04-30,9
2023-05-07,8
2023-05-14,8
2023-05-21,13
2023-05-28,12
2023-06-04,12
2023-06-11,10
2023-06-18,18
2023-06-25,21
2023-07-02,22
2023-07-09,69
2023-07-16,18
2023-07-23,14
2023-07-30,10
2023-08-06,17
2023-08-13,15
2023-08-20,10
2023-08-27,11
2023-09-03,11
2023-09-10,9
2023-09-17,10
2023-09-24,13
2023-10-01,14
2023-10-08,43
2023-10-15,15
2023-10-22,8
2023-10-29,10
2023-11-05,12
2023-11-12,9
2023-11-19,12
2023-11-26,14
2023-12-03,15
2023-12-10,20
2023-12-17,14
2023-12-24,18
2023-12-31,22
2024-01-07,15
2024-01-14,14
2024-01-21,15
2024-01-28,18
2024-02-04,15
2024-02-11,17
2024-02-18,17
2024-02-25,12
2024-03-03,22
2024-03-10,18
2024-03-17,18
2024-03-24,19
2024-03-31,18
2024-04-07,9
2024-04-14,13
2024-04-21,13
2024-04-28,11
